id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
132068,Great attic+terrace+parking. Beach views. ESS00578,648938,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32475,-1.97335,Entire home/apt,321,2,727,2024-06-25,4.57,1,253,55,
142760,Piso en la playa cerca de Gaztelugatxe,693119,Maitane,Vizcaya,Sukarrieta,43.39243,-2.69474,Entire home/apt,160,2,75,2024-06-14,0.48,1,305,18,
309802,Luxury w/terrace near the beach Wif,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3158,-2.00598,Entire home/apt,534,3,16,2024-06-11,0.13,7,229,6,ESS00368
309812,Impresionante vivienda céntrica con vistas al mar,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31663,-1.98616,Entire home/apt,304,7,10,2017-05-31,0.07,7,324,0,
309813,Near the beach with terrace Wifi,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31681,-1.98611,Entire home/apt,304,7,13,2023-08-28,0.09,7,281,1,
309828,Impresionante vivienda céntrica con vistas al mar,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31471,-1.98588,Entire home/apt,584,7,34,2024-06-20,0.27,7,51,2,_
309830,Gorgeus modern design Wifi Beach,1589633,Emy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31679,-1.98794,Private room,514,7,98,2024-06-02,0.72,7,218,24,
337759,Precioso y espacioso piso en el centro de Vitoria,1716368,Martín,Ãlava,Vitoria-Gasteiz,42.84516,-2.66942,Entire home/apt,140,4,1,2023-08-13,0.09,2,203,1,
341691,habitación céntrica baño privado derecho a cocina,1733722,Itziar,Vizcaya,Bilbao,43.26144,-2.94905,Private room,84,3,46,2024-06-11,0.56,1,252,9,
376823,Elegant villa in San Sebastian area,1716909,Joxeanjel,GuipÃºzcoa,Oiartzun,43.29654,-1.86248,Entire home/apt,800,2,14,2024-05-31,0.30,1,324,7,
386301,Xuloss Apartments 1,1933529,Ainhoa,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97173,Entire home/apt,302,2,285,2023-09-16,2.12,3,142,6,RGV SS00304
393715,Apartamento en Costa Vasca,1968496,Concha,GuipÃºzcoa,Mutriku,43.30743408203125,-2.3866090774536133,Entire home/apt,95,2,103,2024-06-14,0.71,2,272,25,L5500105
424487,Apartamento Gorliz Vida. Ideal para sentirse bien,2110227,Koldo,Vizcaya,Gorliz,43.41346,-2.93647,Entire home/apt,94,3,58,2024-05-12,0.40,1,322,3,
430475,Atico en Ondarreta  in San Sebastián,2131752,Ana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.313541412353516,-2.0040740966796875,Entire home/apt,219,2,69,2024-06-26,0.63,1,261,31,
452464,Best of both worlds - mountains/city (3 rooms),1141079,Sally & Rober,Vizcaya,Durango,43.15328,-2.61862,Private room,142,2,81,2023-08-25,0.55,4,266,4,Registro alojamientos turísticos Gobierno Vasco LBI0015
456366,City Center Private Room + Bathroom,59550,Maite,Vizcaya,Bilbao,43.26394,-2.94151,Private room,95,2,64,2019-10-11,0.44,2,342,0,BI-0024
456706,Your Place JUST right in the CENTER,59550,Maite,Vizcaya,Bilbao,43.26402,-2.94204,Private room,75,2,34,2019-10-20,0.23,2,344,0,
491403,Mountains/city - twin room own bath,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15163,-2.61873,Private room,62,2,60,2024-04-15,0.41,4,285,3,Registro alojamiento s turísticos Gobierno Vasco LBI0015
492561,Mountains and city: Two twin rooms,1141079,Sally & Rober,Vizcaya,AbadiÃ±o,43.15182,-2.61711,Private room,103,2,41,2023-11-01,0.28,4,283,8,Registro alojamiento Gobierno Vasco LBI0015
492633,Mountains and city: Double ensuite,1141079,Sally & Rober,Vizcaya,Durango,43.15237,-2.61921,Private room,66,2,133,2024-03-16,0.92,4,282,8,Registro alojamientos turísticos Gobierno Vasco LBI0015
512917,Apartment next Ondarreta beach,2524293,Itziar,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31496,-2.00172,Entire home/apt,299,2,43,2023-11-13,0.30,1,246,13,
534069,BEST LOCATION OLD TOWN Luxury Loft (+ 31 days),2625306,Luis,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32561,-1.98452,Entire home/apt,280,1,378,2018-06-30,2.59,12,62,0,
544285,"Columba´s Homestay, 4minutes from the sea",2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31076,-1.99945,Private room,88,2,478,2024-06-22,3.28,2,203,33,LSS00040
617702,"Temporarily not available, idoneous for families",3060941,Joxean,GuipÃºzcoa,Deba,43.29081,-2.3562,Entire home/apt,130,4,18,2023-08-26,0.13,1,314,3,ESS00169
641478,COUNTRY HOUSE BY THE BUTRON RIVER,3196379,Iñigo,Vizcaya,Gatika,43.38766,-2.91995,Entire home/apt,661,2,39,2024-06-02,0.27,1,246,4,
647882,Apartment in San Sebastian Beach,438751,Lorena,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32533,-1.97127,Entire home/apt,190,5,44,2024-06-14,0.33,1,122,5,ESS00610
655694,vivienda para familia o grupo,3297234,Teresa,Vizcaya,Bilbao,43.25691,-2.93218,Entire home/apt,199,4,20,2019-08-21,0.18,2,341,0,EBI  480
664737,Apartamento en el centro. estancias largas,3358229,Asier,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31859,-1.98032,Entire home/apt,170,30,124,2024-05-28,0.87,3,136,1,
702249,Mikelen Etxea - Sierra Salvada - Orduña,3604629,Inmaculada,Ãlava,Amurrio,42.97339,-3.01969,Entire home/apt,230,2,17,2024-06-02,0.13,1,290,8,
711105,Traditional Basque Farm House,3659702,Phil,Ãlava,Arraia-Maeztu,42.74912,-2.44388,Entire home/apt,25,2,271,2024-06-24,2.22,2,318,25,LVI 00039
714318,Bright Penthouse with Terrace and A/C,3678889,Martin Y Emelyn,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3133,-1.98162,Entire home/apt,75,29,101,2023-11-07,0.79,1,74,3,ESS-00250
720913,Cabaña de piedra. playa y naturaleza. 8,3721977,Maria,Vizcaya,Ispaster,43.34788,-2.56852,Entire home/apt,110,2,336,2024-06-16,3.25,11,273,24,L BI 0019
720916,Piso en Lekeitio con opción a garaje,3721977,Maria,Vizcaya,Lekeitio,43.3623,-2.50622,Entire home/apt,104,2,352,2024-06-24,2.48,11,295,34,BI E 0061
740932,Nice Room Guggenheim & Euskalduna & Uni Deusto,3227964,Gabriela,Vizcaya,Bilbao,43.27085,-2.92839,Private room,49,3,152,2023-10-08,1.14,3,112,11,LBI56
748452,alojamiento rural en urdaibai,3931497,Mañuko,Vizcaya,Bermeo,43.39903,-2.75805,Entire home/apt,1000,1,0,,,2,363,0,
796513,Cozy low-budget Piso Kabi fast wifi,3065884,Diana,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31801,-1.95223,Entire home/apt,125,25,31,2024-04-28,0.23,1,289,2,
872681,Apartament Bilbao-Guggenheim with parking+Wi-fi,4604601,Patricia,Vizcaya,Bilbao,43.26785,-2.93253,Entire home/apt,117,2,179,2024-06-18,1.39,1,22,11,Número de licencia turística EBI0045
903053,FANTASTIC VIEWS - GREAT TERRACE - LUMINOSO ÁTICO,4827486,Patricia,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32297,-1.97519,Entire home/apt,249,2,455,2024-06-25,3.31,1,64,46,ES00691
940996,Bonito piso con vistas y acogedor,5086082,Laura,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31215,-1.98468,Entire home/apt,284,2,227,2024-06-19,1.69,1,218,31,
961100,Sunny Penthouse with terrace in San Sebastian,5096546,Gustavo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32436,-1.98279,Entire home/apt,214,2,481,2024-06-24,3.60,1,279,27,ESS0566
985201,Modern studio in the Basque Capital - Non smoking,1329868,Yolanda,Ãlava,Vitoria-Gasteiz,42.84642,-2.66912,Entire home/apt,67,2,500,2024-06-02,3.65,1,81,39,LVI-0002
991935,San Sebastián Green + Parking,5361990,Beñat,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31042,-1.99287,Entire home/apt,130,2,496,2024-06-13,3.66,1,30,33,LSS00074
1015779,"Nice new flat, city center Irun",4571056,Ainara,GuipÃºzcoa,Irun,43.33973,-1.79104,Entire home/apt,209,2,16,2017-08-23,0.12,1,298,0,
1061559,Room with terrace + bathrom-prívate garage.,5844152,Victoria,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30936,-1.98655,Private room,83,1,625,2024-06-24,4.59,1,270,98,SS00003
1102007,Chalet con jardin y bosque centenario  en Laukiz,6053257,Eduardo,Vizcaya,Laukiz,43.35377,-2.92298,Entire home/apt,180,3,9,2023-09-02,0.40,1,66,7,
1131903,MOTE cottage. Wifi. Views of the sea.   ESS 00597,1580328,Eneko,GuipÃºzcoa,Mutriku,43.30593,-2.38728,Entire home/apt,250,7,26,2022-09-21,0.19,1,189,0,ESS00597
1136840,PERFECT FLAT IN A PERFECT PLACE,6236133,June & Ander,Vizcaya,Elantxobe,43.39922,-2.63576,Entire home/apt,100,2,285,2024-06-16,2.10,1,206,25,E-BI-130
1159799,Have a great time in San Sebastian Homestay,2676178,Columba,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31136,-1.99981,Private room,88,2,389,2024-06-17,2.90,2,174,32,LSS00040
1170609,Beautiful apartment in the center of San SEBASTIÁN,6201019,M Carmen,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.318085,-1.982051,Entire home/apt,344,1,188,2024-06-21,1.40,1,300,14,ESS00073
1199219,Room in Big Flat with views Guggenheim&Euskalduna,3227964,Gabriela,Vizcaya,Bilbao,43.27119,-2.92734,Private room,36,12,71,2024-06-22,0.64,3,108,9,LBI 56
1208285,"Precioso apartamento con vistas, cerca de la playa",3358229,Asier,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3241,-1.975,Entire home/apt,250,3,256,2024-06-23,1.95,3,271,23,ESS00186
1218200,Apartament 6 places 50 metres beach WIFI,6647633,Igor,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31262,-2.00088,Entire home/apt,230,1,76,2023-07-17,0.57,7,36,2,ESS 01153
1260104,Apartament in Basque Country coast,6854454,Itziar,GuipÃºzcoa,Deba,43.28669,-2.32677,Entire home/apt,104,2,7,2023-09-11,0.15,3,311,5,
1276187,GERNIKA ROOMS EBI01245,6946194,Elena,Vizcaya,Gernika-Lumo,43.31582,-2.67664,Entire home/apt,140,3,39,2024-05-05,0.29,1,328,4,
1278869,Apartamento Deusto 4 habitaciones,6855743,Maria,Vizcaya,Bilbao,43.27355,-2.95065,Entire home/apt,89,7,33,2023-08-27,0.27,1,21,5,
1311566,Habitación con baño exclusivo. Casco Viejo,7127707,Eugenio,Vizcaya,Bilbao,43.25908,-2.9185,Private room,79,2,129,2024-06-10,3.76,1,60,32,LBI00498
1334785,El Pisitö - Bed & Pintxos,7238197,Ana,Vizcaya,Bilbao,43.25742,-2.9242,Entire home/apt,140,5,269,2024-06-11,2.06,1,261,20,E-BI-0005
1339052,4 bedroom flat in SS near beach  [ESS01112],7260628,Iñigo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31303,-2.0023,Entire home/apt,144,31,18,2022-08-01,0.14,1,329,0,ESS01112
1340524,"Perfect location, beaches, old town",7270859,Emi,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32223,-1.98231,Private room,74,2,297,2024-06-26,2.22,1,112,41,LSS00007
1344066,Precioso apartamento con jardin en,3604685,Iratxe,Vizcaya,Getxo,43.33472,-3.00217,Entire home/apt,197,5,5,2021-08-14,0.04,1,350,0,E-BI-396
1377085,Orio -  San Sebastian by the beach,7460322,Leyre,GuipÃºzcoa,Orio,43.28814,-2.1264,Entire home/apt,182,2,209,2024-06-24,1.58,1,295,16,
1444162,Balentziaga Getaria.,7754058,Irantzu,GuipÃºzcoa,Getaria,43.30213,-2.20539,Entire home/apt,170,4,27,2024-05-22,0.42,1,47,6,ESS02217
1470889,Luxury San Prudencio Vitoria - EVI0049,7859412,Javier,Ãlava,Vitoria-Gasteiz,42.84424,-2.67103,Entire home/apt,97,2,80,2024-02-11,0.73,5,11,11,EVI049
1480833,Precioso apartamento en Errenteria.,7438203,Ibon,GuipÃºzcoa,Errenteria,43.31171,-1.89968,Entire home/apt,70,3,92,2024-06-26,0.69,1,203,9,ESS00942
1560846,Ideal para familias,8305052,Begoña,GuipÃºzcoa,Mutriku,43.30203,-2.36463,Entire home/apt,141,2,160,2024-05-10,1.32,4,319,15,LSS00135
1587488,UBICACION PERFECTA...BAÑO PRIVADO   L-SS-00002 ''',8462790,Maria Concepcion,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3224,-1.9786,Private room,116,2,342,2024-06-14,2.61,2,260,10,L-ss-00002
1614488,Acogedor y a 8 minutos del centro!,7423796,Raúl,Ãlava,Vitoria-Gasteiz,42.83794,-2.66807,Entire home/apt,106,2,31,2023-08-23,0.36,1,21,3,EVI-0072
1618029,IGELDO 2013 HABITACIÓN MONTE,8603350,Agurtxo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30519,-2.04059,Private room,100,3,52,2022-09-04,0.42,2,364,0,
1618388,IGELDO 2013 HABITACIÓN MAR,8603350,Agurtxo,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30664,-2.03972,Private room,100,3,59,2022-10-09,0.48,2,364,0,
1674721,APARTAMENTO PUESTA DE SOL -ESS00070,8863617,Mikel,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32108,-1.97166,Entire home/apt,278,2,161,2024-06-23,1.47,1,281,31,ES00070
1679109,"BILBAO,tu CASAencima del CASCO VIEJO con DESAYUNO",8869519,Carmen,Vizcaya,Bilbao,43.26079,-2.91529,Private room,40,2,106,2024-06-25,0.85,2,128,22,U3077203X
