Registre,Nom,Tipologia,Inscripció ,Capacitat,Adreça,Municipi,Districte,CP,Comarca,Telèfon,Titular,Qualificació,NIF
S08443,Centre de dia de l'Ajuntament de La Fatarella,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2012-10-22,5,"C.  Suñé, 3 (entrada per c/ Vall d'Estudi)","Fatarella, la",,43781,Terra Alta,,Ajuntament de La Fatarella,Entitat d'iniciativa pública,P4305700I
S08788,SAIAR La Cooperatva de Sant Quirze de Besora,Servei d'atenció integral a les persones grans en l'àmbit rural,2014-04-15,25,"C.  Joan Baptista Espadaler, 10",Sant Quirze de Besora,,08580,Osona,938550877,Ajuntament de Sant Quirze de Besora,Entitat d'iniciativa pública,P0823700J
S05918,Centre de dia Santa Maria del Tura,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2004-05-07,25,"C.  Bisbe Guillamet, 5",Olot,,17800,Garrotxa,972274417,Instituto de Religiosas de San José de Gerona,Entitat privada d'iniciativa social,R2800368I
S04505,Servei de suport. Associació Sant Antoni d'amics de la residència de gent gran de Tàrrega,Servei de suport social als serveis socials especialitzats,2000-02-23,0,"C.  Hospital, 2",Tàrrega,,25300,Urgell,973310760,Associació Sant Antoni d'amics de la Residència de gent gran de Tàrrega,Entitat privada d'iniciativa social,G25409640
S10856,Habitatge d'inclusió amb acompanyament socioeducatiu. NAU 2,Servei d'acolliment residencial d'urgència,2022-06-28,2,"C.  Residència, 10 Bl.5 Es.1, 1er 8ª",Barcelona,9,08030,Barcelonès,934534019,Associació Prohabitatge,Entitat privada d'iniciativa social,G61964102
S09566,Edades Baix Llobregat,Servei d'ajuda a domicili,2018-01-15,0,"C.  Doctor Trueta, 5, entresol 1ª",Castelldefels,,08860,Baix Llobregat,930237923,Sonia Caminero Correas,Entitat privada d'iniciativa mercantil,43427698H
S05330,Centre de dia Can Boada,Servei de centre de dia per a gent gran de caràcter temporal o permanent,2002-10-21,25,"C.  Pirineus, 9-13",Mataró,,08303,Maresme,937411139,"Vima Residencial, SL",Entitat privada d'iniciativa mercantil,B61185930
S10926,Llar residència Rovira Roure,Servei de llar residència temporal o permanent per a persones amb discapacitat intel·lectual,2022-11-14,8,"Av. Alcalde Rovira Roure, 42, 4rt B",Lleida,,25006,Segrià,973221788,Fundació privada Ilersis,Entitat privada d'iniciativa social,G25025321
S01250,Centre Guru - Servei de Suport,Servei de suport social als serveis socials especialitzats,1991-05-29,0,"c.  Bisbe Català, 38",Barcelona,5,08034,Barcelonès,932037882,Fundació Privada Autisme GURU,Entitat privada d'iniciativa social,G58440934
S07231,Residencia per a gent gran Emera Sant Genis,Servei de residència assistida per a gent gran de caràcter temporal o permanent,2008-10-06,109,"c.  Natzaret, 16",Barcelona,7,08035,Barcelonès,934343095,"Geros Azur, SLU",Entitat privada d'iniciativa mercantil,B64728991
