Any,Comarca,Tipologia,Habitatges,Capacitat,Entitat privada d'iniciativa social_count,Entitat d'iniciativa pública_count,Entitat privada d'iniciativa mercantil_count,Habitatge acumulat,Capacitat acumulada
1988,Alt Camp,Llar amb suport,0,0,,,,0,0
1988,Alt Camp,Llar residència,0,0,,,,0,0
1988,Alt Camp,Residència,0,0,,,,0,0
1988,Alt Empordà,Llar amb suport,0,0,,,,0,0
1988,Alt Empordà,Llar residència,0,0,,,,0,0
1988,Alt Empordà,Residència,0,0,,,,0,0
1988,Alt Penedès,Llar amb suport,0,0,,,,0,0
1988,Alt Penedès,Llar residència,0,0,,,,0,0
1988,Alt Penedès,Residència,0,0,,,,0,0
1988,Alt Urgell,Llar amb suport,0,0,,,,0,0
1988,Alt Urgell,Llar residència,0,0,,,,0,0
1988,Alt Urgell,Residència,0,0,,,,0,0
1988,Alta Ribagorça,Llar amb suport,0,0,,,,0,0
1988,Alta Ribagorça,Llar residència,0,0,,,,0,0
1988,Alta Ribagorça,Residència,0,0,,,,0,0
1988,Anoia,Llar amb suport,0,0,,,,0,0
1988,Anoia,Llar residència,0,0,,,,0,0
1988,Anoia,Residència,0,0,,,,0,0
1988,Bages,Llar amb suport,0,0,,,,0,0
1988,Bages,Llar residència,0,0,,,,0,0
1988,Bages,Residència,0,0,,,,0,0
1988,Baix Camp,Llar amb suport,0,0,,,,0,0
1988,Baix Camp,Llar residència,0,0,,,,0,0
1988,Baix Camp,Residència,0,0,,,,0,0
1988,Baix Ebre,Llar amb suport,0,0,,,,0,0
1988,Baix Ebre,Llar residència,0,0,,,,0,0
1988,Baix Ebre,Residència,0,0,,,,0,0
1988,Baix Empordà,Llar amb suport,0,0,,,,0,0
1988,Baix Empordà,Llar residència,0,0,,,,0,0
1988,Baix Empordà,Residència,0,0,,,,0,0
1988,Baix Llobregat,Llar amb suport,0,0,,,,0,0
1988,Baix Llobregat,Llar residència,0,0,,,,0,0
1988,Baix Llobregat,Residència,0,0,,,,0,0
1988,Baix Penedès,Llar amb suport,0,0,,,,0,0
1988,Baix Penedès,Llar residència,0,0,,,,0,0
1988,Baix Penedès,Residència,0,0,,,,0,0
1988,Barcelonès,Llar amb suport,0,0,,,,0,0
1988,Barcelonès,Llar residència,0,0,,,,0,0
1988,Barcelonès,Residència,0,0,,,,0,0
1988,Berguedà,Llar amb suport,0,0,,,,0,0
1988,Berguedà,Llar residència,0,0,,,,0,0
1988,Berguedà,Residència,0,0,,,,0,0
1988,Cerdanya,Llar amb suport,0,0,,,,0,0
1988,Cerdanya,Llar residència,0,0,,,,0,0
1988,Cerdanya,Residència,0,0,,,,0,0
1988,Conca de Barberà,Llar amb suport,0,0,,,,0,0
1988,Conca de Barberà,Llar residència,0,0,,,,0,0
1988,Conca de Barberà,Residència,0,0,,,,0,0
1988,Garraf,Llar amb suport,0,0,,,,0,0
1988,Garraf,Llar residència,0,0,,,,0,0
1988,Garraf,Residència,0,0,,,,0,0
1988,Garrigues,Llar amb suport,0,0,,,,0,0
1988,Garrigues,Llar residència,0,0,,,,0,0
1988,Garrigues,Residència,0,0,,,,0,0
1988,Garrotxa,Llar amb suport,0,0,,,,0,0
1988,Garrotxa,Llar residència,0,0,,,,0,0
1988,Garrotxa,Residència,0,0,,,,0,0
1988,Gironès,Llar amb suport,0,0,,,,0,0
1988,Gironès,Llar residència,0,0,,,,0,0
1988,Gironès,Residència,0,0,,,,0,0
1988,Lluçanès,Llar amb suport,0,0,,,,0,0
1988,Lluçanès,Llar residència,0,0,,,,0,0
1988,Lluçanès,Residència,0,0,,,,0,0
1988,Maresme,Llar amb suport,0,0,,,,0,0
1988,Maresme,Llar residència,0,0,,,,0,0
1988,Maresme,Residència,2,202,0.0,0.0,2.0,2,202
1988,Moianès,Llar amb suport,0,0,,,,0,0
1988,Moianès,Llar residència,0,0,,,,0,0
1988,Moianès,Residència,0,0,,,,0,0
1988,Montsià,Llar amb suport,0,0,,,,0,0
1988,Montsià,Llar residència,0,0,,,,0,0
1988,Montsià,Residència,0,0,,,,0,0
1988,Noguera,Llar amb suport,0,0,,,,0,0
1988,Noguera,Llar residència,0,0,,,,0,0
1988,Noguera,Residència,0,0,,,,0,0
1988,Osona,Llar amb suport,0,0,,,,0,0
1988,Osona,Llar residència,0,0,,,,0,0
1988,Osona,Residència,0,0,,,,0,0
1988,Pallars Jussà,Llar amb suport,0,0,,,,0,0
1988,Pallars Jussà,Llar residència,0,0,,,,0,0
1988,Pallars Jussà,Residència,0,0,,,,0,0
1988,Pallars Sobirà,Llar amb suport,0,0,,,,0,0
1988,Pallars Sobirà,Llar residència,0,0,,,,0,0
1988,Pallars Sobirà,Residència,0,0,,,,0,0
1988,Pla d'Urgell,Llar amb suport,0,0,,,,0,0
1988,Pla d'Urgell,Llar residència,0,0,,,,0,0
1988,Pla d'Urgell,Residència,0,0,,,,0,0
1988,Pla de l'Estany,Llar amb suport,0,0,,,,0,0
1988,Pla de l'Estany,Llar residència,0,0,,,,0,0
1988,Pla de l'Estany,Residència,0,0,,,,0,0
1988,Priorat,Llar amb suport,0,0,,,,0,0
1988,Priorat,Llar residència,0,0,,,,0,0
1988,Priorat,Residència,0,0,,,,0,0
1988,Ribera d'Ebre,Llar amb suport,0,0,,,,0,0
1988,Ribera d'Ebre,Llar residència,0,0,,,,0,0
1988,Ribera d'Ebre,Residència,0,0,,,,0,0
1988,Ripollès,Llar amb suport,0,0,,,,0,0
1988,Ripollès,Llar residència,0,0,,,,0,0
1988,Ripollès,Residència,0,0,,,,0,0
1988,Segarra,Llar amb suport,0,0,,,,0,0
1988,Segarra,Llar residència,0,0,,,,0,0
1988,Segarra,Residència,0,0,,,,0,0
1988,Segrià,Llar amb suport,0,0,,,,0,0
1988,Segrià,Llar residència,0,0,,,,0,0
1988,Segrià,Residència,0,0,,,,0,0
1988,Selva,Llar amb suport,0,0,,,,0,0
1988,Selva,Llar residència,0,0,,,,0,0
1988,Selva,Residència,0,0,,,,0,0
1988,Solsonès,Llar amb suport,0,0,,,,0,0
1988,Solsonès,Llar residència,0,0,,,,0,0
1988,Solsonès,Residència,0,0,,,,0,0
1988,Tarragonès,Llar amb suport,0,0,,,,0,0
1988,Tarragonès,Llar residència,0,0,,,,0,0
1988,Tarragonès,Residència,0,0,,,,0,0
1988,Terra Alta,Llar amb suport,0,0,,,,0,0
1988,Terra Alta,Llar residència,0,0,,,,0,0
1988,Terra Alta,Residència,0,0,,,,0,0
1988,Urgell,Llar amb suport,0,0,,,,0,0
1988,Urgell,Llar residència,0,0,,,,0,0
1988,Urgell,Residència,0,0,,,,0,0
1988,Val d'Aran,Llar amb suport,0,0,,,,0,0
1988,Val d'Aran,Llar residència,0,0,,,,0,0
1988,Val d'Aran,Residència,0,0,,,,0,0
1988,Vallès Occidental,Llar amb suport,0,0,,,,0,0
1988,Vallès Occidental,Llar residència,0,0,,,,0,0
1988,Vallès Occidental,Residència,1,14,0.0,0.0,1.0,1,14
1988,Vallès Oriental,Llar amb suport,0,0,,,,0,0
1988,Vallès Oriental,Llar residència,0,0,,,,0,0
1988,Vallès Oriental,Residència,0,0,,,,0,0
1989,Alt Camp,Llar amb suport,0,0,,,,0,0
1989,Alt Camp,Llar residència,0,0,,,,0,0
1989,Alt Camp,Residència,0,0,,,,0,0
1989,Alt Empordà,Llar amb suport,0,0,,,,0,0
1989,Alt Empordà,Llar residència,0,0,,,,0,0
1989,Alt Empordà,Residència,0,0,,,,0,0
1989,Alt Penedès,Llar amb suport,0,0,,,,0,0
1989,Alt Penedès,Llar residència,0,0,,,,0,0
1989,Alt Penedès,Residència,0,0,,,,0,0
1989,Alt Urgell,Llar amb suport,0,0,,,,0,0
1989,Alt Urgell,Llar residència,0,0,,,,0,0
1989,Alt Urgell,Residència,0,0,,,,0,0
1989,Alta Ribagorça,Llar amb suport,0,0,,,,0,0
1989,Alta Ribagorça,Llar residència,0,0,,,,0,0
1989,Alta Ribagorça,Residència,0,0,,,,0,0
1989,Anoia,Llar amb suport,0,0,,,,0,0
