Any;Comarca;Valors
2001;Alt Camp;215
2002;Alt Camp;218
2003;Alt Camp;228
2004;Alt Camp;244
2005;Alt Camp;254
2006;Alt Camp;258
2007;Alt Camp;269
2008;Alt Camp;285
2009;Alt Camp;309
2010;Alt Camp;324
2011;Alt Camp;349
2012;Alt Camp;359
2013;Alt Camp;373
2014;Alt Camp;389
2015;Alt Camp;401
2016;Alt Camp;420
2017;Alt Camp;453
2018;Alt Camp;490
2019;Alt Camp;507
2020;Alt Camp;523
2021;Alt Camp;581
2022;Alt Camp;621
2023;Alt Camp;683
2001;Alt Empordà;650
2002;Alt Empordà;684
2003;Alt Empordà;722
2004;Alt Empordà;747
2005;Alt Empordà;773
2006;Alt Empordà;793
2007;Alt Empordà;797
2008;Alt Empordà;813
2009;Alt Empordà;855
2010;Alt Empordà;885
2011;Alt Empordà;914
2012;Alt Empordà;949
2013;Alt Empordà;958
2014;Alt Empordà;970
2015;Alt Empordà;993
2016;Alt Empordà;1020
2017;Alt Empordà;1080
2018;Alt Empordà;1155
2019;Alt Empordà;1220
2020;Alt Empordà;1263
2021;Alt Empordà;1432
2022;Alt Empordà;1594
2023;Alt Empordà;1.738
2001;Alt Penedès;376
2002;Alt Penedès;397
2003;Alt Penedès;430
2004;Alt Penedès;470
2005;Alt Penedès;492
2006;Alt Penedès;527
2007;Alt Penedès;544
2008;Alt Penedès;563
2009;Alt Penedès;582
2010;Alt Penedès;599
2011;Alt Penedès;632
2012;Alt Penedès;660
2013;Alt Penedès;684
2014;Alt Penedès;718
2015;Alt Penedès;730
2016;Alt Penedès;775
2017;Alt Penedès;799
2018;Alt Penedès;853
2019;Alt Penedès;949
2020;Alt Penedès;967
2021;Alt Penedès;1037
2022;Alt Penedès;1093
2023;Alt Penedès;1.148
2001;Alt Urgell;90
2002;Alt Urgell;90
2003;Alt Urgell;89
2004;Alt Urgell;92
2005;Alt Urgell;97
2006;Alt Urgell;100
2007;Alt Urgell;100
2008;Alt Urgell;102
2009;Alt Urgell;99
2010;Alt Urgell;101
2011;Alt Urgell;104
2012;Alt Urgell;105
2013;Alt Urgell;108
2014;Alt Urgell;106
2015;Alt Urgell;106
2016;Alt Urgell;107
2017;Alt Urgell;109
2018;Alt Urgell;111
2019;Alt Urgell;117
2020;Alt Urgell;125
2021;Alt Urgell;121
2022;Alt Urgell;129
2023;Alt Urgell;132
2001;Alta Ribagorça;22
2002;Alta Ribagorça;19
2003;Alta Ribagorça;20
2004;Alta Ribagorça;17
2005;Alta Ribagorça;17
2006;Alta Ribagorça;17
2007;Alta Ribagorça;17
2008;Alta Ribagorça;18
2009;Alta Ribagorça;19
2010;Alta Ribagorça;19
2011;Alta Ribagorça;19
2012;Alta Ribagorça;19
2013;Alta Ribagorça;19
2014;Alta Ribagorça;20
2015;Alta Ribagorça;19
2016;Alta Ribagorça;18
2017;Alta Ribagorça;20
2018;Alta Ribagorça;19
2019;Alta Ribagorça;20
2020;Alta Ribagorça;21
2021;Alta Ribagorça;20
2022;Alta Ribagorça;19
2023;Alta Ribagorça;23
2001;Anoia;528
2002;Anoia;535
2003;Anoia;557
2004;Anoia;580
2005;Anoia;602
2006;Anoia;621
2007;Anoia;624
2008;Anoia;636
2009;Anoia;658
2010;Anoia;670
2011;Anoia;708
2012;Anoia;740
2013;Anoia;772
2014;Anoia;803
2015;Anoia;832
2016;Anoia;886
2017;Anoia;918
2018;Anoia;1015
2019;Anoia;1060
2020;Anoia;1064
2021;Anoia;1086
2022;Anoia;1150
2023;Anoia;1.251
2023;Aran;51
2001;Bages;714
2002;Bages;721
2003;Bages;763
2004;Bages;803
2005;Bages;838
2006;Bages;863
2007;Bages;898
2008;Bages;946
2009;Bages;1016
